Date,Value
1/5/2013,72.128914
2/5/2013,73.63159971
3/5/2013,73.63159971
4/5/2013,77.13786636
5/5/2013,81.64592348
6/5/2013,81.64592348
7/5/2013,81.64592348
8/5/2013,83.14860919
9/5/2013,83.14860919
10/5/2013,87.65666632
11/5/2013,89.15935203
12/5/2013,89.15935203
13/5/2013,81.74987297
14/5/2013,81.74987297
15/5/2013,81.74987297
16/5/2013,89.53557516
17/5/2013,81.74987297
18/5/2013,81.74987297
19/5/2013,76.74477871
20/5/2013,82.86211614
21/5/2013,82.86211614
22/5/2013,89.53557516
23/5/2013,90.09169674
24/5/2013,90.09169674
25/5/2013,97.26804906
26/5/2013,103.9136922
27/5/2013,103.9136922
28/5/2013,101.4970947
29/5/2013,102.101244
30/5/2013,102.101244
31/5/2013,119.6215759
1/6/2013,123.2464721
2/6/2013,123.2464721
3/6/2013,126.8713683
4/6/2013,156.7035621
5/6/2013,156.7035621
6/6/2013,124.8973935
7/6/2013,130.327715
8/6/2013,130.327715
9/6/2013,139.6368375
10/6/2013,136.5337967
11/6/2013,136.5337967
12/6/2013,149.7217202
13/6/2013,133.4307558
14/6/2013,133.4307558
15/6/2013,145.067159
16/6/2013,148.0494004
17/6/2013,148.0494004
18/6/2013,120.1699679
19/6/2013,140.3585225
20/6/2013,140.3585225
21/6/2013,165.3538758
22/6/2013,169.1993148
23/6/2013,169.1993148
24/6/2013,142.281242
25/6/2013,181.6969915
26/6/2013,181.6969915
27/6/2013,161.5084369
28/6/2013,170.754179
29/6/2013,170.754179
30/6/2013,162.2694993
1/7/2013,166.5118392
2/7/2013,166.5118392
3/7/2013,180.2994437
4/7/2013,187.7235384
5/7/2013,187.7235384
6/7/2013,198.3293881
7/7/2013,197.2688031
8/7/2013,197.2688031
9/7/2013,181.3600287
10/7/2013,249.7082121
11/7/2013,249.7082121
12/7/2013,196.3851043
13/7/2013,211.9918675
14/7/2013,211.9918675
15/7/2013,213.2924311
16/7/2013,219.7952492
17/7/2013,219.7952492
18/7/2013,219.7952492
19/7/2013,243.205394
20/7/2013,243.205394
21/7/2013,279.6825502
22/7/2013,225.2998321
23/7/2013,225.2998321
24/7/2013,212.8694965
25/7/2013,276.5749663
26/7/2013,276.5749663
27/7/2013,275.0211744
28/7/2013,257.929463
29/7/2013,257.929463
30/7/2013,309.2045972
31/7/2013,287.4515099
1/8/2013,287.4515099
2/8/2013,332.7260031
3/8/2013,317.8555673
4/8/2013,317.8555672
5/8/2013,351.314048
6/8/2013,327.1495897
7/8/2013,327.1495897
8/8/2013,386.6313333
9/8/2013,369.9020929
10/8/2013,369.9020929
11/8/2013,425.6662275
12/8/2013,484.9527656
13/8/2013,484.9527656
14/8/2013,421.8078742
15/8/2013,434.4368525
16/8/2013,434.4368525
17/8/2013,497.5817439
18/8/2013,449.5916264
19/8/2013,449.5916264
20/8/2013,520.3139047
21/8/2013,525.365496
22/8/2013,525.365496
23/8/2013,607.9322986
24/8/2013,467.3888102
25/8/2013,467.3888102
26/8/2013,562.1739535
27/8/2013,545.8316874
28/8/2013,545.8316874
29/8/2013,634.0799243
30/8/2013,702.7174419
31/8/2013,702.7174419
1/9/2013,768.0865063
2/9/2013,604.6638454
3/9/2013,604.6638454
4/9/2013,704.3985918
5/9/2013,821.0781131
6/9/2013,821.0781131
7/9/2013,643.8980992
8/9/2013,834.0425044
9/9/2013,834.0425044
10/9/2013,868.6142144
11/9/2013,898.8644607
12/9/2013,898.8644606
13/9/2013,933.4361707
14/9/2013,1024.579581
15/9/2013,1024.579581
16/9/2013,990.9868074
17/9/2013,845.4181239
18/9/2013,845.4181239
19/9/2013,1080.567536
20/9/2013,1046.974763
21/9/2013,1046.974763
22/9/2013,1237.33381
23/9/2013,1125.3579
24/9/2013,1125.3579
25/9/2013,1265.031076
26/9/2013,1302.020289
27/9/2013,1302.020289
28/9/2013,1242.837548
29/9/2013,1213.246178
30/9/2013,1213.246178
1/10/2013,1279.826761
2/10/2013,1538.75125
3/10/2013,1538.75125
4/10/2013,1560.944778
5/10/2013,1900.662831
6/10/2013,1900.662831
7/10/2013,1467.838622
8/10/2013,1721.887615
9/10/2013,1721.887615
10/10/2013,1665.432283
11/10/2013,1853.616722
12/10/2013,1853.616722
13/10/2013,2427.57926
14/10/2013,2333.487041
15/10/2013,2333.487041
16/10/2013,2382.309675
17/10/2013,2302.45572
18/10/2013,2302.45572
19/10/2013,2874.742402
20/10/2013,2675.107513
21/10/2013,2675.107513
22/10/2013,2808.197439
