date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,generatedCoins,cumulative total number of coins,fees,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
9/1/2009,,,0,,,,14,700,700,0,1,,,,3010,14
10/1/2009,,,0,,,,61,3050,3750,0,1,,,,13129,61
11/1/2009,,,0,,,,93,4650,8400,0,1,,,,20033,93
12/1/2009,,,7,,,,102,4700,13100,0,1,5,,0,22031,94
13/1/2009,,,0,,,,123,6150,19250,0,1,,,,26527,123
14/1/2009,,,1,,,,133,6450,25700,0,1,0,,0,28276,129
15/1/2009,,,8,,,,140,6300,32000,0,1,6,,0,30061,126
16/1/2009,,,2,,,,114,5400,37400,0,1,0,,0,23854,108
17/1/2009,,,0,,,,109,5450,42850,0,1,,,,23528,109
18/1/2009,,,1,,,,111,5350,48200,0,1,0,,0,23534,107
19/1/2009,,,2,,,,133,5750,53950,0,1,0,,0,26783,115
20/1/2009,,,1,,,,123,5700,59650,0,1,0,,0,25619,114
21/1/2009,,,1,,,,105,5100,64750,0,1,0,,0,22337,102
22/1/2009,,,1,,,,102,4550,69300,0,1,0,,0,20816,91
23/1/2009,,,2,,,,95,4200,73500,0,1,0,,0,19256,84
24/1/2009,,,1,,,,212,10050,83550,0,1,0,,0,44634,201
25/1/2009,,,1,,,,193,9550,93100,0,1,0,,0,41447,191
26/1/2009,,,1,,,,117,4800,97900,0,1,0,,0,23035,96
27/1/2009,,,1,,,,101,4850,102750,0,1,0,,0,21370,97
28/1/2009,,,0,,,,112,5600,108350,0,1,,,,24153,112
29/1/2009,,,1,,,,134,6050,114400,0,1,0,,0,27498,121
30/1/2009,,,0,,,,117,5850,120250,0,1,,,,25257,117
31/1/2009,,,1,,,,159,6900,127150,0,1,0,,0,32080,138
1/2/2009,,,1,,,,116,5650,132800,0,1,0,,0,24657,113
2/2/2009,,,1,,,,130,6400,139200,0,1,0,,0,27788,128
3/2/2009,,,16,,,,154,6950,146150,2.01,1,14,,0,34541,139
4/2/2009,,,0,,,,119,5950,152100,0,1,,,,25673,119
5/2/2009,,,0,,,,126,6300,158400,0,1,,,,27181,126
6/2/2009,,,0,,,,122,6100,164500,0,1,,,,26332,122
7/2/2009,,,4,,,,156,6450,170950,0,1,1,,0,31000,129
8/2/2009,,,1,,,,134,6600,177550,0,1,0,,0,28720,132
9/2/2009,,,1,,,,179,6700,184250,0,1,0,,0,33983,134
10/2/2009,,,0,,,,120,6000,190250,0,1,,,,25880,120
11/2/2009,,,2,,,,147,6650,196900,0,1,0,,0,30474,133
12/2/2009,,,0,,,,119,5950,202850,0,1,,,,25689,119
