,price(USD),averageDifficulty,cumulative total number of coins,activeAddresses,Daily Hash Rate(Trillions of hashes/s)
0,139,10076292.88,11102989.8,83564,72.128914
1,116.38,10076292.88,11106339.8,81920,73.63159971
2,106.25,10076292.88,11109764.8,82804,73.63159971
3,98.1,10076292.88,11113739.8,69959,77.13786636
4,112.9,10076292.88,11117864.8,72103,81.64592348
5,115.98,10076292.88,11122014.8,85164,81.64592348
6,112.25,10076292.88,11126214.8,109067,81.64592348
7,109.6,10076292.88,11130339.8,102388,83.14860919
8,113.2,10076292.88,11134439.8,81894,83.14860919
9,112.8,10076292.88,11138739.8,84293,87.65666632
10,117.7,10076292.88,11143289.8,80910,89.15935203
11,115.64,10301130.95,11147489.8,69607,89.15935203
12,114.82,11187257.46,11151839.8,82796,81.74987297
13,117.98,11187257.46,11155689.8,83723,81.74987297
14,111.4,11187257.46,11159214.8,84715,81.74987297
15,114.22,11187257.46,11162914.8,84113,89.53557516
16,118.21,11187257.46,11166939.8,78407,81.74987297
17,123.5,11187257.46,11170664.8,68328,81.74987297
18,123.21,11187257.46,11174564.8,64189,76.74477871
19,122.5,11187257.46,11177789.8,71628,82.86211614
20,122.02,11187257.46,11181564.8,82536,82.86211614
21,122.89,11187257.46,11185464.8,74758,89.53557516
22,123.8,11187257.46,11189814.8,83223,90.09169674
23,126.3,11187257.46,11194039.8,84914,90.09169674
24,133.1,11450754.07,11198164.8,69588,97.26804906
25,131.99,12153411.71,11202239.8,69622,103.9136922
26,133.5,12153411.71,11206639.8,73955,103.9136922
27,129.77,12153411.71,11210589.8,76189,101.4970947
28,129,12153411.71,11214789.8,80522,102.101244
29,132.25,12153411.71,11219264.8,78185,102.101244
30,128.8,12153411.71,11223639.8,75446,119.6215759
31,128.82,12153411.71,11228964.8,67761,123.2464721
32,129.3,12153411.71,11233939.8,65817,123.2464721
33,122.5,12153411.71,11239264.8,79845,126.8713683
34,120.74,12153411.71,11244589.8,78619,156.7035621
35,121.4,13466756.64,11249189.8,78652,156.7035621
36,121.9,15605632.68,11253714.8,73256,124.8973935
37,118.97,15605632.68,11257739.8,73768,130.327715
38,111,15605632.68,11262264.8,58257,130.327715
39,107.89,15605632.68,11266239.8,56600,139.6368375
40,100.44,15605632.68,11270589.8,60963,136.5337967
41,106.35,15605632.68,11275089.8,66609,136.5337967
42,109,15605632.68,11280164.8,63763,149.7217202
43,108.78,15605632.68,11284814.8,66341,133.4307558
44,103.95,15605632.68,11289314.8,75762,133.4307558
45,100,15605632.68,11293639.8,53810,145.067159
46,99.8,15948722.6,11298264.8,48785,148.0494004
47,99.9,19339258.27,11301889.8,56902,148.0494004
48,101.95,19339258.27,11305389.8,63562,120.1699679
49,107.05,19339258.27,11308789.8,69145,140.3585225
50,108.25,19339258.27,11312639.8,67644,140.3585225
51,111.29,19339258.27,11316839.8,69098,165.3538758
52,109.5,19339258.27,11321239.8,58577,169.1993148
53,108.2,19339258.27,11325364.8,52055,169.1993148
54,107.9,19339258.27,11329114.8,64862,142.281242
55,102.09,19339258.27,11333039.8,61381,181.6969915
56,103.33,19339258.27,11337389.8,64996,181.6969915
57,104,19339258.27,11341564.8,61024,161.5084369
58,101.74,19339258.27,11345789.8,68612,170.754179
59,94.66,20177844.25,11350014.8,60980,170.754179
60,95,21335329.11,11353839.8,50485,162.2694993
61,97.51,21335329.11,11357764.8,68676,166.5118392
62,88.05,21335329.11,11361589.8,64157,166.5118392
63,90.4,21335329.11,11366189.8,66024,180.2994437
64,78.89,21335329.11,11370314.8,60868,187.7235384
65,79.99,21335329.11,11374964.8,60509,187.7235384
66,68.5,21335329.11,11379639.8,56535,198.3293881
67,68.75,21335329.11,11384289.8,48847,197.2688031
68,76.5,21335329.11,11389089.8,63045,197.2688031
69,76,21335329.11,11393714.8,67986,181.3600287
70,76.72,21335329.11,11398589.8,64858,249.7082121
71,88,26107386.64,11402939.8,73357,249.7082121
72,88.98,26162875.68,11406789.8,78450,196.3851043
73,93.99,26162875.68,11410714.8,63116,211.9918675
74,98.7,26162875.68,11415014.8,48402,211.9918675
75,93.61,26162875.68,11419114.8,62325,213.2924311
76,98.89,26162875.68,11423214.8,66221,219.7952492
77,96.71,26162875.68,11427814.8,63007,219.7952492
78,98.5,26162875.68,11431839.8,63178,219.7952492
79,90.07,26162875.68,11436114.8,58759,243.205394
80,92,26162875.68,11440764.8,52399,243.205394
81,89.82,26162875.68,11445739.8,51123,279.6825502
82,92,27181692.69,11449864.8,60318,225.2998321
83,91.6,31256960.73,11453389.8,64299,225.2998321
84,95.56,31256960.73,11457364.8,65888,212.8694965
85,94.5,31256960.73,11461014.8,66440,276.5749663
86,96.95,31256960.73,11465114.8,62558,276.5749663
87,96.02,31256960.73,11469639.8,52438,275.0211744
88,94.4,31256960.73,11473839.8,49179,257.929463
89,98.6,31256960.73,11478289.8,67473,257.929463
90,101.49,31256960.73,11483214.8,69872,309.2045972
91,107.95,31256960.73,11487964.8,80899,287.4515099
92,106.21,31256960.73,11492389.8,114305,287.4515099
93,104.86,31256960.73,11497189.8,74758,332.7260031
94,104.5,34144398.57,11501439.8,60484,317.8555673
95,104.95,37392766.14,11505914.8,60253,317.8555672
96,105.12,37392766.14,11510639.8,73171,351.314048
97,106.72,37392766.14,11515389.8,71546,327.1495897
98,106.75,37392766.14,11520039.8,75667,327.1495897
99,106.75,37392766.14,11525164.8,72376,386.6313333
100,103.07,37392766.14,11530039.8,64633,369.9020929
101,102.8,37392766.14,11535289.8,59304,369.9020929
102,103,37392766.14,11540689.8,54134,425.6662275
103,105,37392766.14,11546089.8,103392,484.9527656
104,106.99,39812328.46,11550664.8,74994,484.9527656
105,109.56,50810339.05,11554864.8,78215,421.8078742
106,112.56,50810339.05,11559114.8,75757,434.4368525
107,110,50810339.05,11563314.8,82518,434.4368525
108,108.99,50810339.05,11568064.8,61411,497.5817439
109,112.75,50810339.05,11572914.8,57548,449.5916264
110,113.38,50810339.05,11577339.8,78552,449.5916264
111,119,50810339.05,11582089.8,79844,520.3139047
112,121.21,50810339.05,11586989.8,82676,525.365496
113,123.3,50810339.05,11592389.8,83887,525.365496
114,122,50810339.05,11597289.8,81888,607.9322986
