,averageDifficulty,cumulative total number of coins,activeAddresses,Daily Hash Rate(Trillions of hashes/s)
1077,25.841259649363167,15425089.8,511761,14.04719633952017
1278,26.260600103964947,15933914.8,472384,14.571940429249272
604,24.398494321785293,13500614.8,187834,12.65661384408755
818,24.67984730065494,14435064.8,298291,12.818620065416363
942,25.00992052374961,14898764.8,321393,13.249112036234068
1368,26.69707544881567,16130952.3,661095,14.90380819234816
525,24.26889326072231,13361589.8,192165,12.41745757563125
416,23.32317983038614,12927389.8,153727,11.74787255245573
1276,26.260600103964947,15929952.3,570194,14.465922232115595
1430,26.937873935368604,16247739.8,630967,15.025366015308192
1277,26.260600103964947,15931814.8,541665,14.445988020485853
673,24.56667539140568,13908314.8,257487,12.812216131616433
1229,26.12142853846417,15866939.8,458631,14.40313557591334
1967,29.579784333966263,17286283.54,631546,17.812471972217434
201,20.228121089582736,12008839.8,164698,8.454491913779426
915,24.85448834534531,14794239.8,397127,13.014167794962056
1877,29.256332377518937,17107471.05,562602,17.574584084534326
1821,28.976493482528184,17000664.8,660414,17.108021173310547
1107,25.99112399600974,15537439.8,453620,14.109856281395867
1222,26.12142853846417,15854027.3,438972,14.49065495144346
1137,26.001380496176928,15593839.8,466112,14.234495549179895
547,24.306385814300345,13443614.8,205465,12.725773484300538
901,24.832233384925196,14741889.8,349102,13.127166880488796
877,24.80647110755387,14653564.8,295114,13.077013150062148
1296,26.26452938210484,15968364.8,627629,14.514888715603956
1763,28.73296119468933,16890202.3,713403,16.990211191794028
24,16.253566143437926,11198164.8,69588,4.577470559725338
187,19.7840359724619,11949464.8,100576,8.102780116894776
1012,25.66490825955572,15182364.8,525262,14.08083986925575
1663,27.93850581567651,16688939.8,908966,16.199871593865335
1323,26.38274805270603,16043714.8,619913,14.49935121183467
1559,27.480198226193966,16494427.3,683046,15.693839942988417
1902,29.30998509101126,17176846.05,583692,17.281108585634662
1375,26.699616746244345,16144677.3,655219,14.928354705908315
281,21.68697606185889,12363489.8,163365,9.987915581386842
1450,26.979015878699776,16284502.3,688123,15.09606836801166
1781,28.82190868070583,16924939.8,460743,17.008984867960248
693,24.567385726424003,13927514.8,224960,12.754277739555471
997,25.45065365565875,15117789.8,473146,13.824115659649804
671,24.56667539140568,13901514.8,267483,12.78657370110581
455,23.65373621088103,13081089.8,182567,12.00146789196592
1953,29.537596259585182,17260646.04,664157,17.602931541353957
1813,28.976493482528184,16985539.8,589421,17.234435098286976
350,22.53478317576969,12655439.8,184755,10.721675188965504
47,16.777647695134004,11301889.8,56902,4.997546004556285
478,23.894826550857093,13175614.8,182544,12.134018063573224
1541,27.41410811436497,16459427.3,658031,15.68406016236684
1539,27.41410811436497,16455539.8,811433,15.702409301029425
80,17.07985200511729,11440764.8,52399,5.493906329122371
925,24.910618767897788,14832139.8,370346,13.077171096872284
1610,27.726331295732876,16590539.8,691464,15.902796577243938
1098,25.910651642787165,15452464.8,466136,14.10897178463846
872,24.80647110755387,14634789.8,341423,12.77690855750717
475,23.7363031082759,13163339.8,187501,12.140367290840365
190,20.051742639692595,11961489.8,130495,8.125037475104737
1852,29.091959020044204,17058927.3,442647,17.374063149173654
299,21.864162466385118,12441239.8,215087,10.251114860426616
531,24.278684810950043,13383639.8,215756,12.452063104827998
607,24.398494321785293,13512739.8,200394,12.565046650601346
1304,26.365172907884524,16007202.3,682916,14.571292918988842
819,24.67984730065494,14438864.8,321419,12.782773933777731
1284,26.260600103964947,15944439.8,555971,14.44993081992946
1154,26.06560008891122,15735464.8,541226,14.254657977605644
1398,26.812310712393256,16187927.3,664567,14.964570506872144
991,25.45065365565875,15094039.8,536461,13.57120378729566
1023,25.69307913652241,15227039.8,495715,14.069790033810552
1139,26.001380496176928,15601514.8,577587,14.2660439067555
745,24.587009905883985,14164939.8,263674,12.947386866872778
519,24.26889326072231,13338889.8,184209,12.400598858262816
546,24.306385814300345,13439364.8,200999,12.642623115983836
695,24.567385726424003,13935489.8,233307,12.89782591054108
447,23.57606938545032,13050839.8,166594,11.74262171399078
571,24.4196180584546,13638764.8,247119,12.645988882502142
791,24.6232570483854,14239814.8,309194,12.78293649812228
85,17.257752652703065,11461014.8,66440,5.622481910073367
1989,29.63923514832001,17378583.54,686810,17.89175176805402
1498,27.24388696450511,16378227.3,878586,15.532424784295673
1508,27.245358635116563,16396689.8,665263,15.450597823995343
421,23.32317983038614,12949939.8,159176,11.737234154047735
1915,29.35378771366965,17178971.05,484547,17.733061915852783
1067,25.841259649363167,15386614.8,477457,14.03395111310858
502,24.118771488869186,13272039.8,192841,12.431615910826228
290,21.68697606185889,12401714.8,150317,10.062878619944543
1411,26.85666387994306,16212039.8,594463,15.082534270949564
1427,26.88868369117783,16242277.3,735755,15.114435006282797
77,17.07985200511729,11427814.8,63007,5.392696427541209
1603,27.726331295732876,16577589.8,620733,15.67453792534564
1638,27.813342672722506,16646714.8,919336,16.21396787187885
753,24.61114956518841,14197164.8,289098,12.763908571879856
1570,27.550895071449265,16564539.8,728856,15.738039564611842
787,24.62911756626158,14372789.8,295627,12.802495860336249
2002,29.60232049898868,17324808.54,637741,17.513051204180652
1024,25.753703758338848,15230664.8,510057,13.937447425613982
1676,27.93112570837889,16665452.3,942700,16.19325214728982
1581,27.51223757993858,16506189.8,795732,15.699323106125137
959,25.094008811140604,14969514.8,483265,13.400918497704144
1830,29.02230301855948,17017302.3,625693,17.28716519730968
1282,26.260600103964947,15941152.3,593610,14.491897720793505
433,23.54574301114768,12995864.8,214002,11.79759292077791
1253,26.208062770437067,15913064.8,585521,14.509944585681138
726,24.586320517129383,14096314.8,255440,12.825512029739992
160,19.05874455844729,11811514.8,76020,7.451176418630231
1002,25.51075757972846,15137639.8,522089,13.691193360870484
1501,27.24388696450511,16383939.8,701424,15.375239200780904
662,24.51808462817121,13868264.8,273771,12.71797817938331
1826,29.02230301855948,17009927.3,632650,17.268355865391506
709,24.624154903230973,14291314.8,258200,12.727081536185944
911,24.85113032707733,14778639.8,382999,13.034646326394435
715,24.624154903230973,14312139.8,226454,12.7049404104284
1965,29.579784333966263,17282558.54,631067,17.66789074347573
1136,26.001380496176928,15589939.8,506021,14.15445284150636
978,25.367656736087785,15044539.8,418266,13.714237185767088
1092,25.910651642787165,15530639.8,471935,13.951610973820925
1146,26.001380496176928,15628539.8,563282,14.284505966626403
1992,29.63923514832001,17383421.04,524084,17.55904601424615
1566,27.550895071449265,16556914.8,689236,15.601627709044347
922,24.85448834534531,14820264.8,418274,13.027866639306572
117,18.001371143850626,11609789.8,75772,6.331811327801175
216,20.377118543883952,12073189.8,174151,8.736213983666456
749,24.61114956518841,14183389.8,257272,12.749922329909149
131,18.280648469395757,11675439.8,73995,6.726284365568493
336,22.334074926687094,12596114.8,179055,10.854558713693203
88,17.257752652703065,11473839.8,49179,5.55268614831643
874,24.80647110755387,14642014.8,355943,13.064590629888318
1776,28.82190868070583,16915552.3,844775,17.08644292695083
1192,26.031533534347616,15687864.8,477072,14.343849154472789
562,24.4021875330426,13549164.8,221622,12.59576853448433
147,18.65024171232661,11753314.8,78496,7.142851966867786
1708,28.28854111884534,16780389.8,1132612,16.52832129438239
143,18.53960578238639,11732539.8,66368,6.953660106473055
1978,29.598133472634466,17307171.04,532067,17.875197613883465
54,16.777647695134004,11329114.8,64862,4.95780567630839
580,24.419472856930817,13621214.8,254921,12.398354311182295
1203,26.10316319048687,15818914.8,537436,14.200492620143994
588,24.41233203039847,13595964.8,225168,12.572011480072897
1046,25.785860869973376,15260964.8,376520,13.94824049188155
259,21.305228324763863,12267639.8,132929,9.786491398519669
297,21.864162466385118,12432264.8,155205,10.251114860426616
1600,27.550895071449265,16548277.3,588671,15.90402646241954
1641,28.00258467236103,16703314.8,555051,15.630138189167292
1026,25.817016037753174,15293664.8,522170,13.839255399610405
86,17.257752652703065,11465114.8,62558,5.622481910073367
451,23.65373621088103,13065489.8,138508,11.918086282786795
1919,29.414412335486087,17186271.05,634184,17.627701400194955
1069,25.841259649363167,15394314.8,487367,14.123182246846325
1662,27.93850581567651,16686939.8,849503,16.037352664096538
1595,27.550895071449265,16537164.8,710521,15.96998443016126
944,25.00992052374961,14906989.8,413030,13.450361602940156
1479,27.051202620675607,16339827.3,807946,15.333962777467269
621,24.44065937425352,13717589.8,221134,12.34371727667872
358,22.6661489305172,12688114.8,166389,10.948961065489412
1327,26.459838134425603,16050527.3,565086,14.592039916263108
996,25.45065365565875,15113314.8,501601,13.742675328099592
553,24.386171995008635,13467889.8,202134,12.561866982598463
