,price(USD)
1077,6.046993856900462
1278,6.571051015444761
604,5.765661211702066
818,5.682320471356869
942,5.879051442528994
1368,6.8241671269754045
525,5.817468239060018
416,6.386340453661878
1276,6.533788837933344
1430,6.934046612936205
1277,6.537111799149336
673,5.608518960429688
1229,6.435220448948869
1967,8.759645130263216
201,6.207744598400789
915,5.786713315347843
1877,8.821745655182621
1821,9.090127887597658
1107,6.114677259797142
1222,6.39457688963255
1137,6.360732366904259
547,5.816247692043959
901,5.567810009799607
877,5.456858394676588
1296,6.613223131580274
1763,9.24897437458695
24,4.891100725401066
187,5.3690553810533785
1012,5.930944607312194
1663,8.957514373276682
1323,6.659306740114276
1559,8.074891884938378
1902,8.757313420004229
1375,6.938604510397623
281,6.703911777712923
1450,7.0992678024776765
1781,9.026647074776404
693,5.51128936254075
997,5.946545629982904
671,5.616952899321468
455,6.371167303992706
1953,8.904013561615498
1813,8.980226333162408
350,6.258012356029477
47,4.604169685654508
478,6.2491641025638
1541,7.727486651151534
1539,7.711334095307712
80,4.5217885770490405
925,5.749647730528151
1610,8.266919935213236
1098,6.09746735645105
872,5.444147814759576
475,6.134438716059089
190,5.567122383230129
1852,8.90409778049226
299,6.406945990491635
531,5.970470710603746
607,5.761107541275471
1304,6.607244604091484
819,5.685211089070766
1284,6.556110519568459
1154,6.489356895462073
1398,7.059428606991557
991,5.958812214832733
1023,6.032054514712074
1139,6.509737371509022
745,5.47075692348754
519,5.95061651058197
546,5.877987850847898
695,5.51572449601031
447,6.433374082153435
571,5.866949527410049
791,5.573483945929398
85,4.548599834499697
1989,8.79281381617501
1498,7.96185125754172
1508,7.829634366867023
421,6.33884139744058
1915,9.012598937592164
1067,6.036485712755503
502,6.169129445143161
290,6.493602542476407
1411,7.070401200416095
1427,6.951370169734284
77,4.571716809728872
1603,8.272917929966416
1638,8.616966125575033
753,5.476379866421608
1570,8.372014806565168
787,5.495322260252552
2002,8.776304478377138
1024,6.046733677375123
1676,9.303675876118485
1581,8.38690453543356
959,6.142488916544167
1830,9.17991003005424
1282,6.609820830066004
433,6.433856071816055
1253,6.413819547884414
726,5.3910332750477785
160,4.842137743895371
1002,5.979265439650984
1501,7.947374530741628
662,5.499378894716044
1826,9.132537736799115
709,5.495896925730972
911,5.7180797793570255
715,5.411288845207198
1965,8.781718196724063
1136,6.355829844330721
978,6.063924733837243
1092,6.144743418449206
1146,6.638476161932225
1992,8.746476257281605
1566,8.31043958808163
922,5.92511104655796
117,4.8049222778449305
216,6.953110980702935
749,5.446263121296344
131,4.802872844820349
336,6.171992830280843
88,4.547541073151455
874,5.424817850157378
1776,9.169823539222673
1192,6.360058180440242
562,6.036485712755503
147,4.84717474494322
1708,9.614351089637776
143,4.843793308150688
1978,8.795538309860804
54,4.681204872264089
580,5.938195618228642
1203,6.340782494593145
588,5.864199196062105
1046,6.044080716110943
259,6.725177689414589
297,6.353047427399297
1600,8.190432049112623
1641,8.66351098844264
1026,6.081693658300472
86,4.574195381688661
451,6.399493033619306
1919,8.94039212165147
1069,6.043345168984971
1662,8.948613204519285
1595,8.335402693585506
944,5.933332129668729
1479,7.548223995723839
621,5.584060059618766
358,6.196097835663095
1327,6.6733106099127735
996,6.015547217623939
553,5.801151140384475
794,5.547089677496061
865,5.460606269591755
1478,7.505877239132972
1267,6.458542024343669
1973,8.795376291137446
1648,8.876890762611133
1079,6.049568347262764
317,6.458557695008968
1444,7.065041039304868
1073,6.047159390450944
970,6.031910470922513
585,5.926499268255623
116,4.784152841516532
1295,6.566911501082778
108,4.69125613490122
1353,6.689275833794804
263,6.732997047994386
480,6.211182236854
1211,6.368890198184901
1145,6.628953658336293
188,5.434638613906275
592,5.848546379088794
1488,7.627583338123413
1035,6.082036245292369
1684,9.626969595455105
1551,7.909999828827465
892,5.496102083395356
1636,8.700514248543275
1666,8.996893406453298
93,4.652626127144386
21,4.811289646296506
1897,8.7531771507103
1773,9.15002651436755
1495,7.842981595713121
684,5.654872303286193
139,4.879691028162049
1350,6.805102206002551
